project_code	submitter_sample_id	ega_sample_id	ega_analysis_id	file_name	ega_file_id	encrypted_file_md5sum	file_md5sum	dataset_id
PRAD-CA	CPCG0201-F1	EGAN00001220646	EGAZ00001224648	CPCG/100PG/bam/CPCG0201-F1.bam	EGAF00001213934	d75166a6bb991a442c30f29f03e0760e	b31df80b6791f34f38b574dbc95742a0	EGAD00001003139,EGAD00001003105
PRAD-CA	CPCG0203-F1	EGAN00001220648	EGAZ00001224650	CPCG/100PG/bam/CPCG0203-F1.bam	EGAF00001213936	3f04220e460e70892eb8db7f2eb829dc	a01fd2df09077fc7409ad46c80b9c6ea	EGAD00001003105,EGAD00001003139
PRAD-CA	CPCG0208-F1	EGAN00001220652	EGAZ00001224653	CPCG/100PG/bam/CPCG0208-F1.bam	EGAF00001213939	5b4d58ac02484baf306b37ce15dcb349	d082c1ee29cd45f52ccc8d585d967532	EGAD00001003139,EGAD00001003105
PRAD-CA	CPCG0211-F1	EGAN00001220656	EGAZ00001224656	CPCG/100PG/bam/CPCG0211-F1.bam	EGAF00001213942	3e9eef262b35217b677032e0c397d6c4	14f729697a04e72275388dd7866fe1d1	EGAD00001003139,EGAD00001003105
PRAD-CA	CPCG0212-F1	EGAN00001220658	EGAZ00001224657	CPCG/100PG/bam/CPCG0212-F1.bam	EGAF00001213943	6fd9c766104ed9c545dd91d72990fd8d	c910ef2f312157825406e41e00acf3af	EGAD00001003105,EGAD00001003139
PRAD-CA	CPCG0213-F1	EGAN00001220660	EGAZ00001224658	CPCG/100PG/bam/CPCG0213-F1.bam	EGAF00001213944	d4e495e3bed26ca7704e71e284c8a714	b6c605a84627bbd324a0607f36e21573	EGAD00001003105,EGAD00001003139
PRAD-CA	CPCG0217-F1	EGAN00001220662	EGAZ00001224659	CPCG/100PG/bam/CPCG0217-F1.bam	EGAF00001213945	4fd0956651fd6e15e68e496896a32131	a71304846651c2ed8dd0e741a8a36d25	EGAD00001003105,EGAD00001003139
PRAD-CA	CPCG0232-F1	EGAN00001220664	EGAZ00001224661	CPCG/100PG/bam/CPCG0232-F1.bam	EGAF00001213947	2f98434a1c79f30ec6599cf04dd830ea	11851cbea676734a3d7e3dda8c1ed687	EGAD00001003105,EGAD00001003139
PRAD-CA	CPCG0233-F1	EGAN00001220666	EGAZ00001224663	CPCG/100PG/bam/CPCG0233-F1.bam	EGAF00001213949	dd9a3719854b6c69643c9c4b54a82054	b65a62b3b93dd8c10b46d81f01ba9006	EGAD00001003139,EGAD00001003105
PRAD-CA	CPCG0236-F1	EGAN00001220669	EGAZ00001224665	CPCG/100PG/bam/CPCG0236-F1.bam	EGAF00001213951	fbcea8305727bad85e5f3ee5df63e494	c0eef8925aacf0b4a568dd1ab8e27872	EGAD00001003105,EGAD00001003139
PRAD-CA	CPCG0238-F1	EGAN00001220671	EGAZ00001224666	CPCG/100PG/bam/CPCG0238-F1.bam	EGAF00001213952	e7e27f9a939583f0085ee603bde90dd9	181618f3b0046f00d3eddf07c86f45da	EGAD00001003105,EGAD00001003139
PRAD-CA	CPCG0241-F1	EGAN00001220673	EGAZ00001224668	CPCG/100PG/bam/CPCG0241-F1.bam	EGAF00001213954	ded33f50b22a2e2c3550346185349986	1ccf3d94285b9afc55c299bc21a08e6a	EGAD00001003139,EGAD00001003105
PRAD-CA	CPCG0242-F1	EGAN00001220675	EGAZ00001224670	CPCG/100PG/bam/CPCG0242-F1.bam	EGAF00001213956	75c77fbae24245c0da5992535a8bc15f	c8b96831bf3d37d9e6d8407805fac9eb	EGAD00001003139,EGAD00001003105
PRAD-CA	CPCG0246-F1	EGAN00001220677	EGAZ00001224672	CPCG/100PG/bam/CPCG0246-F1.bam	EGAF00001213958	ac9e8c5386ec98ee4befa19c65e1772e	b3237f0784f57d73fc40d7915b2ba2ad	EGAD00001003139,EGAD00001003105
PRAD-CA	CPCG0248-F1	EGAN00001220679	EGAZ00001224674	CPCG/100PG/bam/CPCG0248-F1.bam	EGAF00001213960	03b8702de26aef16f6ac6ef05a0ffa53	57d196592b426f12a354304e3a61167a	EGAD00001003139,EGAD00001003105
PRAD-CA	CPCG0249-F1	EGAN00001220681	EGAZ00001224675	CPCG/100PG/bam/CPCG0249-F1.bam	EGAF00001213961	69a9a8b91aae81dc49cd003baf5f5d4b	29ea8fbad57991abd0f1812acceb92bf	EGAD00001003139,EGAD00001003105
PRAD-CA	CPCG0250-F1	EGAN00001220683	EGAZ00001224677	CPCG/100PG/bam/CPCG0250-F1.bam	EGAF00001213963	ffc5eb28658f245a724c768d61ddab69	8ca1d624f29835dd97859b028b323f81	EGAD00001003139,EGAD00001003105
